popularity_rank,canonical_key,display_name,source_breadth,in_debian_popcon,in_homebrew,in_vcpkg,in_conan,debian_installed_max,debian_regular_use_max,debian_installed_sum,debian_regular_use_sum,homebrew_installs_365d,homebrew_requested_365d,homebrew_reverse_dependencies,vcpkg_reverse_dependencies,conan_literal_reverse_dependencies,popularity_proxy_raw,popularity_proxy_share_pct,cumulative_popularity_proxy_pct
245,yaml-cpp,yaml-cpp,4,1,1,1,1,8913,530,11180,832,11563,3960,9,7,9,0.000849896776,0.1084267,76.880988
246,libnetfilter-conntrack,libnetfilter_conntrack,3,1,1,0,1,231468,110776,231681,110790,196,30,1,0,0,0.000847433974,0.1081125,76.9891
247,iso-codes,iso-codes,3,1,1,1,0,266896,82690,266896,82690,41143,657,2,0,0,0.000845696845,0.10789089,77.096991
248,libass,libass,3,1,1,1,0,149106,33147,150560,33227,251624,50296,10,0,0,0.000840524229,0.10723098,77.204222
249,speex,speex,3,1,1,1,0,159848,81060,163920,81240,128401,825,15,1,0,0.000840441571,0.10722044,77.311443
250,libimobiledevice,libimobiledevice,3,1,1,1,0,86323,74546,88571,74785,63839,60390,3,4,0,0.000839204124,0.10706257,77.418505
251,duktape,duktape,4,1,1,1,1,152376,137595,152478,137604,1157,100,2,1,0,0.000832679799,0.10623022,77.524735
252,libgit2,libgit2,4,1,1,1,1,35581,17629,36370,17688,435487,25707,37,0,0,0.000832658683,0.10622753,77.630963
253,libssh,libssh,4,1,1,1,1,123543,25683,124621,25738,339940,24067,16,0,1,0.000828883153,0.10574586,77.736709
254,libcap,libcap,3,0,1,1,1,0,0,0,0,720909,521,6,2,5,0.000828519759,0.1056995,77.842408
255,libpcap,libpcap,4,1,1,1,1,108259,14983,117273,15354,26046,8774,11,4,5,0.000820828195,0.10471824,77.947126
256,libdaemon,libdaemon,3,1,1,0,1,145422,122226,145525,122236,21856,39,2,0,1,0.000812429593,0.10364677,78.050773
257,libxshmfence,libxshmfence,3,1,1,0,1,177152,108761,179291,108818,34240,82,0,0,1,0.000812105021,0.10360536,78.154379
258,openjph,openjph,4,1,1,1,1,5806,1958,6313,1987,953006,4595,2,1,3,0.00081187028,0.10357542,78.257954
259,liburing,liburing,4,1,1,1,1,122986,82032,123552,82110,217,63,0,4,3,0.000811827982,0.10357002,78.361524
260,xerces-c,xerces-c,4,1,1,1,1,42250,1411,44870,1602,46926,1475,13,3,8,0.00080545206,0.1027566,78.464281
261,libproxy,libproxy,3,1,1,1,0,152636,99799,301293,121077,4062,3716,0,0,0,0.000800224614,0.10208971,78.56637
262,utf8proc,utf8proc,4,1,1,1,1,21983,6572,22314,6593,468362,14810,13,4,3,0.000796884376,0.10166357,78.668034
263,libtheora,libtheora,2,1,0,1,0,147266,46335,361422,130558,0,0,0,3,0,0.000784703277,0.10010955,78.768143
264,vulkan-headers,vulkan-headers,3,0,1,1,1,0,0,0,0,88799,14081,6,13,5,0.000784502634,0.10008395,78.868227
265,llhttp,llhttp,4,1,1,1,1,4571,2084,8836,2197,775201,1425,2,2,4,0.000783460112,0.09995095,78.968178
266,libfontenc,libfontenc,3,1,1,1,0,168945,108244,170854,108332,26255,109,3,1,0,0.000781099583,0.09964981,79.067828
267,libde265,libde265,4,1,1,1,1,182746,41800,185277,41981,299002,3661,1,1,1,0.000777311246,0.0991665,79.166995
268,libgphoto2,libgphoto2,3,1,1,0,1,134067,74853,310082,150198,7425,1892,1,0,0,0.000774782825,0.09884394,79.265839
269,serd,serd,4,1,1,1,1,150968,103829,151584,103865,601,259,4,3,0,0.000773878165,0.09872852,79.364567
270,tree-sitter,tree-sitter,4,1,1,1,1,13273,1268,16197,2138,376943,50411,5,1,4,0.000768250736,0.0980106,79.462578
271,glew,glew,4,1,1,1,1,19462,298,25568,846,47895,15066,17,7,5,0.000766188218,0.09774747,79.560325
272,libxdamage,libxdamage,3,1,1,1,0,180810,106812,196274,107822,35341,515,0,0,0,0.000763126814,0.09735691,79.657682
273,libevdev,libevdev,4,1,1,1,1,139658,118753,143509,118977,174,150,0,0,1,0.000761007057,0.09708647,79.754769
274,miniz,miniz,3,0,1,1,1,0,0,0,0,32,29,0,6,10,0.000759800653,0.09693257,79.851701
275,jsoncpp,jsoncpp,3,0,1,1,1,0,0,0,0,48563,4038,15,11,5,0.000757621629,0.09665457,79.948356
276,openal-soft,openal-soft,4,1,1,1,1,144820,6469,291662,12858,8600,7385,4,4,3,0.000756410055,0.09650001,80.044856
